n,time,threads
20,0.002595,32
20,0.001593,16
20,0.000686,12
20,0.000349,8
20,0.018419,4
20,0.000901,2
20,0.000028,1
30,0.003731,32
30,0.002097,16
30,0.000809,12
30,0.000456,8
30,0.002024,4
30,0.000954,2
30,0.000080,1
40,0.004065,32
40,0.001176,16
40,0.000915,12
40,0.000538,8
40,0.001532,4
40,0.001087,2
40,0.000524,1
50,0.002064,32
50,0.000995,16
50,0.000634,12
50,0.000864,8
50,0.002243,4
50,0.001407,2
50,0.000350,1
60,0.012370,32
60,0.001764,16
60,0.001150,12
60,0.000858,8
60,0.002297,4
60,0.001094,2
60,0.001186,1
70,0.005468,32
70,0.001505,16
70,0.000970,12
70,0.001056,8
70,0.002745,4
70,0.001693,2
70,0.000939,1
80,0.035198,32
80,0.001144,16
80,0.001738,12
80,0.001162,8
80,0.003105,4
80,0.001795,2
80,0.001518,1
90,0.003405,32
90,0.001821,16
90,0.001673,12
90,0.001361,8
90,0.002046,4
90,0.002421,2
90,0.002070,1
100,0.007038,32
100,0.001877,16
100,0.001340,12
100,0.001119,8
100,0.003824,4
100,0.003811,2
100,0.002828,1
110,0.003532,32
110,0.002066,16
110,0.002831,12
110,0.002180,8
110,0.002731,4
110,0.004642,2
110,0.003680,1
120,0.027946,32
120,0.002271,16
120,0.001828,12
120,0.001612,8
120,0.004784,4
120,0.005407,2
120,0.004834,1
130,0.015611,32
130,0.002406,16
130,0.001901,12
130,0.003027,8
130,0.003180,4
130,0.006061,2
130,0.006081,1
140,0.005195,32
140,0.002339,16
140,0.003843,12
140,0.003476,8
140,0.004025,4
140,0.006621,2
140,0.009962,1
150,0.008880,32
150,0.003136,16
150,0.002680,12
150,0.003926,8
150,0.006353,4
150,0.006009,2
150,0.009268,1
160,0.009906,32
160,0.003310,16
160,0.002747,12
160,0.004337,8
160,0.009102,4
160,0.006886,2
160,0.010666,1
170,0.016459,32
170,0.002991,16
170,0.005661,12
170,0.005485,8
170,0.007680,4
170,0.010198,2
170,0.013430,1
180,0.008537,32
180,0.005072,16
180,0.005120,12
180,0.003779,8
180,0.006985,4
180,0.011989,2
180,0.014918,1
190,0.006725,32
190,0.004572,16
190,0.005391,12
190,0.004823,8
190,0.009573,4
190,0.010896,2
190,0.018002,1
200,0.011765,32
200,0.006786,16
200,0.005935,12
200,0.007026,8
200,0.008205,4
200,0.021452,2
200,0.021686,1
210,0.016845,32
210,0.006558,16
210,0.006026,12
210,0.007646,8
210,0.012776,4
210,0.013806,2
210,0.024994,1
220,0.009252,32
220,0.007813,16
220,0.008689,12
220,0.009579,8
220,0.013223,4
220,0.015305,2
220,0.028745,1
230,0.007714,32
230,0.006921,16
230,0.008634,12
230,0.008976,8
230,0.013779,4
230,0.020160,2
230,0.032735,1
240,0.009371,32
240,0.008653,16
240,0.009000,12
240,0.010388,8
240,0.015359,4
240,0.019455,2
240,0.035822,1
250,0.009067,32
250,0.009535,16
250,0.010465,12
250,0.009534,8
250,0.013322,4
250,0.021719,2
250,0.044643,1
260,0.105966,32
260,0.011045,16
260,0.010603,12
260,0.012948,8
260,0.019946,4
260,0.029643,2
260,0.046604,1
270,0.010405,32
270,0.014474,16
270,0.014115,12
270,0.013721,8
270,0.021884,4
270,0.030784,2
270,0.052374,1
280,0.079586,32
280,0.015674,16
280,0.015793,12
280,0.014277,8
280,0.022161,4
280,0.032829,2
280,0.057920,1
290,0.011597,32
290,0.016532,16
290,0.012819,12
290,0.015838,8
290,0.025672,4
290,0.036146,2
290,0.064248,1
300,0.012727,32
300,0.016581,16
300,0.014833,12
300,0.016366,8
300,0.025708,4
300,0.041056,2
300,0.071935,1
310,0.064494,32
310,0.017654,16
310,0.018267,12
310,0.017484,8
310,0.028289,4
310,0.044703,2
310,0.079082,1
320,0.016301,32
320,0.015198,16
320,0.015999,12
320,0.019533,8
320,0.033170,4
320,0.046702,2
320,0.083582,1
330,0.016068,32
330,0.017401,16
330,0.017413,12
330,0.020861,8
330,0.032296,4
330,0.054337,2
330,0.095278,1
340,0.015659,32
340,0.017902,16
340,0.019367,12
340,0.022451,8
340,0.035116,4
340,0.054933,2
340,0.099977,1
350,0.016327,32
350,0.018280,16
350,0.022078,12
350,0.025035,8
350,0.037732,4
350,0.060210,2
350,0.108105,1
360,0.017275,32
360,0.017681,16
360,0.021077,12
360,0.025361,8
360,0.039877,4
360,0.064415,2
360,0.118337,1
370,0.017334,32
370,0.018623,16
370,0.027021,12
370,0.026785,8
370,0.043134,4
370,0.069521,2
370,0.127429,1
380,0.054823,32
380,0.028318,16
380,0.032162,12
380,0.028027,8
380,0.046724,4
380,0.076745,2
380,0.144965,1
390,0.019442,32
390,0.025805,16
390,0.024486,12
390,0.029474,8
390,0.050505,4
390,0.082696,2
390,0.156264,1
400,0.020774,32
400,0.028491,16
400,0.027622,12
400,0.031007,8
400,0.052025,4
400,0.086695,2
400,0.156035,1
410,0.022326,32
410,0.027867,16
410,0.036622,12
410,0.033119,8
410,0.055206,4
410,0.092223,2
410,0.181198,1
420,0.023588,32
420,0.024072,16
420,0.028235,12
420,0.035255,8
420,0.059003,4
420,0.099858,2
420,0.187451,1
430,0.089436,32
430,0.025469,16
430,0.030081,12
430,0.039477,8
