n,time,threads
57600,0.505412,1
57600,0.246597,2
57600,0.161153,3
57600,0.126824,4
57600,0.100144,5
57600,0.084265,6
57600,0.074028,7
57600,0.069077,8
57600,0.248984,2
57600,0.126979,4
57600,0.086913,6
57600,0.068606,8
57600,0.060864,10
57600,0.056400,12
57600,0.051076,14
57600,0.061440,16
57600,0.166951,3
57600,0.087316,6
57600,0.070179,9
57600,0.063846,12
57600,0.056166,15
57600,0.053870,18
57600,0.062332,21
57600,0.055581,24
57600,0.130508,4
57600,0.071165,8
57600,0.082110,12
57600,0.063231,16
57600,0.080031,20
57600,0.065149,24
57600,0.057492,28
57600,0.054735,32
57600,0.109883,5
57600,0.104024,10
57600,0.087102,15
57600,0.071279,20
57600,0.060184,25
57600,0.060908,30
57600,0.085723,35
57600,0.099033,40
57600,0.103843,6
57600,0.085075,12
57600,0.083184,18
57600,0.074503,24
57600,0.072477,30
57600,0.084602,36
57600,0.085842,42
57600,0.096902,48
57600,0.097203,7
57600,0.087640,14
57600,0.083451,21
57600,0.083862,28
57600,0.087275,35
57600,0.075038,42
57600,0.081633,49
57600,0.093637,56
57600,0.078698,8
57600,0.085807,16
57600,0.126677,24
57600,0.080025,32
57600,0.080988,40
57600,0.077337,48
57600,0.086001,56
57600,0.095604,64
230400,1.875168,1
230400,0.972951,2
230400,1.234855,3
230400,0.885947,4
230400,0.739386,5
230400,0.611820,6
230400,0.504201,7
230400,0.451734,8
230400,0.967768,2
230400,0.505249,4
230400,0.343358,6
230400,0.257827,8
230400,0.216039,10
230400,0.283188,12
230400,0.167543,14
230400,0.153098,16
230400,0.660796,3
230400,0.346759,6
230400,0.249273,9
230400,0.204834,12
230400,0.264525,15
230400,0.210080,18
230400,0.198512,21
230400,0.168262,24
230400,0.507525,4
230400,0.272821,8
230400,0.217623,12
230400,0.263314,16
230400,0.211670,20
230400,0.204045,24
230400,0.178574,28
230400,0.166484,32
230400,0.421502,5
230400,0.246731,10
230400,0.280491,15
230400,0.230256,20
230400,0.210433,25
230400,0.190744,30
230400,0.196382,35
230400,0.172787,40
230400,0.360039,6
230400,0.324418,12
230400,0.281403,18
230400,0.201816,24
230400,0.208144,30
230400,0.193132,36
230400,0.173743,42
230400,0.176548,48
230400,0.325564,7
230400,0.226055,14
230400,0.250380,21
230400,0.224352,28
230400,0.215378,35
230400,0.191854,42
230400,0.173416,49
230400,0.232472,56
230400,0.319455,8
230400,0.248512,16
230400,0.235337,24
230400,0.226850,32
230400,0.223287,40
230400,0.264290,48
230400,0.284471,56
230400,0.236198,64
921600,8.092821,1
921600,3.880593,2
921600,4.962459,3
921600,3.656255,4
921600,2.906076,5
921600,2.446347,6
921600,2.065602,7
921600,1.835271,8
921600,3.930282,2
921600,2.856757,4
921600,2.507056,6
921600,1.862948,8
921600,1.517096,10
921600,1.258583,12
921600,1.080447,14
921600,0.944716,16
921600,6.070107,3
921600,1.341778,6
921600,0.946355,9
921600,0.740022,12
921600,0.627053,15
921600,0.548557,18
921600,0.606221,21
921600,0.651541,24
921600,4.759157,4
921600,1.061671,8
921600,0.774721,12
921600,0.640405,16
921600,0.828482,20
921600,0.711303,24
921600,0.644126,28
921600,0.487782,32
921600,4.002903,5
921600,0.909402,10
921600,0.697282,15
921600,0.588064,20
921600,0.677599,25
921600,0.605986,30
921600,0.572962,35
921600,0.655719,40
921600,3.546774,6
921600,0.967437,12
921600,0.897604,18
921600,0.814941,24
921600,0.776675,30
921600,0.624697,36
921600,0.609065,42
921600,0.563934,48
921600,3.174147,7
921600,0.758805,14
921600,0.684029,21
921600,0.717786,28
921600,0.678403,35
921600,0.607530,42
921600,0.604620,49
921600,0.684960,56
921600,2.912096,8
921600,0.842342,16
921600,0.768454,24
921600,0.737497,32
921600,0.621768,40
921600,0.621873,48
921600,0.598323,56
921600,0.748748,64
3686400,33.568924,1
3686400,17.025486,2
3686400,20.219852,3
3686400,14.861581,4
3686400,11.716554,5
3686400,10.372358,6
3686400,8.949566,7
3686400,7.290182,8
3686400,16.562406,2
3686400,15.509148,4
3686400,10.959596,6
3686400,8.115129,8
3686400,6.322506,10
3686400,5.363976,12
3686400,4.573663,14
3686400,3.997985,16
3686400,21.126733,3
3686400,11.144252,6
3686400,7.133456,9
3686400,5.818761,12
3686400,4.501636,15
3686400,5.390384,18
3686400,4.114183,21
3686400,4.869824,24
3686400,14.923980,4
3686400,8.110388,8
3686400,5.334731,12
3686400,5.666617,16
3686400,3.331771,20
3686400,2.930818,24
3686400,3.639752,28
3686400,2.319221,32
3686400,12.188828,5
3686400,6.456458,10
3686400,5.090323,15
3686400,3.522099,20
3686400,4.082854,25
3686400,3.272909,30
3686400,7.234831,35
3686400,2.706472,40
3686400,12.182843,6
3686400,6.308012,12
3686400,2.431242,18
3686400,2.151507,24
3686400,2.785716,30
3686400,6.341035,36
3686400,2.225131,42
3686400,1.803543,48
3686400,10.523581,7
3686400,5.940679,14
3686400,2.722870,21
3686400,5.301061,28
3686400,3.496235,35
3686400,3.325502,42
3686400,5.217187,49
3686400,2.892699,56
3686400,8.806981,8
3686400,5.978643,16
3686400,2.487170,24
3686400,3.564322,32
3686400,4.663108,40
3686400,2.250774,48
3686400,3.107142,56
3686400,3.535557,64
